"id","name","region","country"
1,Las Condes,RM,Chile
2,Viña del Mar,Valparaíso,Chile
3,ALGARROBO,,Chile
4,ALHUE,,Chile
5,ALTO BIOBIO,,Chile
6,ALTO DEL CARMEN,,Chile
7,ALTO HOSPICIO,,Chile
8,ANCUD,,Chile
9,ANDACOLLO,,Chile
10,ANGOL,,Chile
11,ANTOFAGASTA,,Chile
12,ANTUCO,,Chile
13,ARAUCO,,Chile
14,ARICA,,Chile
15,AYSEN,,Chile
16,BUIN,,Chile
17,BULNES,,Chile
18,CABILDO,,Chile
19,CABO DE HORNOS,,Chile
20,CABRERO,,Chile
21,CALAMA,,Chile
22,CALBUCO,,Chile
23,CALDERA,,Chile
24,CALERA DE TANGO,,Chile
25,CALLE LARGA,,Chile
26,CAMARONES,,Chile
27,CAMINA,,Chile
28,CANELA,,Chile
29,CANETE,,Chile
30,CARAHUE,,Chile
31,CARTAGENA,,Chile
32,CASABLANCA,,Chile
33,CASTRO,,Chile
34,CATEMU,,Chile
35,CAUQUENES,,Chile
36,CERRILLOS,,Chile
37,CERRO NAVIA,,Chile
38,CHAITEN,,Chile
39,CHANARAL,,Chile
40,CHANCO,,Chile
41,CHEPICA,,Chile
42,CHIGUAYANTE,,Chile
43,CHILE CHICO,,Chile
44,CHILLAN,,Chile
45,CHILLAN VIEJO,,Chile
46,CHIMBARONGO,,Chile
47,CHOLCHOL,,Chile
48,CHONCHI,,Chile
49,CISNES,,Chile
50,COBQUECURA,,Chile
51,COCHAMO,,Chile
52,COCHRANE,,Chile
53,CODEGUA,,Chile
54,COELEMU,,Chile
55,COIHUECO,,Chile
56,COINCO,,Chile
57,COLBUN,,Chile
58,COLCHANE,,Chile
59,COLINA,,Chile
60,COLLIPULLI,,Chile
61,COLTAUCO,,Chile
62,COMBARBALA,,Chile
63,CONCEPCION,,Chile
64,CONCHALI,,Chile
65,CONCON,,Chile
66,CONSTITUCION,,Chile
67,CONTULMO,,Chile
68,COPIAPO,,Chile
69,COQUIMBO,,Chile
70,CORONEL,,Chile
71,CORRAL,,Chile
72,COYHAIQUE,,Chile
73,CUNCO,,Chile
